wavelength,lambda0,lightToHeat
350,0.35000000000000003,0.04023975793519509
369.99999999999994,0.37,0.04296432027848175
390,0.39,0.05425549918914342
410,0.41000000000000003,0.053837055676940665
429.99999999999994,0.43,0.0520527240566776
450,0.45,0.06046388295489524
470,0.47000000000000003,0.06118206737045984
490,0.49000000000000005,0.05124611684911179
509.99999999999994,0.51,0.056217409765402654
530,0.53,0.052456591434530145
550,0.55,0.04148895878197721
570,0.5700000000000001,0.032197101579125094
590,0.5900000000000001,0.019892497834646358
610,0.6100000000000001,0.016971921942640567
629.9999999999999,0.63,0.010944391714175092
650,0.65,0.012885944323281799
670,0.67,0.008898712874328488
690,0.6900000000000001,0.010339243670698198
710,0.7100000000000001,0.009066633734675353
729.9999999999999,0.73,0.008245108488996193
749.9999999999999,0.75,0.008622759044029513
770,0.77,0.007814738077206423
790,0.79,0.005824341347557998
810,0.81,0.0054668848812415875
830,0.8300000000000001,0.005270603374868055
849.9999999999999,0.85,0.005912994127846214
869.9999999999999,0.87,0.00648654657077935
890,0.89,0.006816843785904218
910,0.91,0.006970565303475011
930,0.93,0.005397023743316891
949.9999999999999,0.95,0.004630315692283001
969.9999999999999,0.9700000000000001,0.004940994719085844
989.9999999999999,0.9900000000000001,0.005231152473522331
1010,1.01,0.0037970427788331395
